GO_ID,n_genes,n_edges,density,n_components,largest_component,avg_degree,clustering,is_clique
non-classical_monocyte,1393,4736,0.004884851185319042,1,1393,6.799712849964107,0.1285490559818209,False
"cd4-positive,_alpha-beta_memory_t_cell",1067,7190,0.012642625164626673,1,1067,13.477038425492033,0.1935073820843677,False
paneth_cell_of_epithelium_of_small_intestine,2695,15093,0.004157662255021466,1,2695,11.200742115027829,0.16417630972443595,False
sperm,2635,23555,0.006787607393607748,1,2635,17.87855787476281,0.22896447168635617,False
mesenchymal_stem_cell,2834,22690,0.005652207163232206,1,2834,16.01270289343684,0.17864500612243725,False
intestinal_tuft_cell,1557,5246,0.004330719711791676,1,1557,6.738599871547849,0.13006804455512636,False
microglial_cell,2606,17904,0.005274701964903081,1,2606,13.740598618572525,0.17452308431198987,False
adventitial_cell,2763,27548,0.007219639474036632,1,2763,19.94064422728918,0.2162652855894011,False
classical_monocyte,3039,23543,0.005100037021464001,1,3039,15.493912471207635,0.19811743202520526,False
bladder_urothelial_cell,3198,36542,0.007148274365253698,1,3198,22.853033145716072,0.22356595030095844,False
epithelial_cell_of_uterus,3168,38295,0.007633765823693199,1,3168,24.176136363636363,0.22764591027978384,False
cell_of_skeletal_muscle,2891,23521,0.005630407696478392,1,2891,16.271878242822552,0.18760834167651344,False
endothelial_cell_of_lymphatic_vessel,3038,20587,0.004462626075635519,1,3038,13.55299539170507,0.159565530973601,False
intestinal_crypt_stem_cell,3072,37842,0.008022376668837513,1,3072,24.63671875,0.25024404540217593,False
myeloid_cell,3196,29416,0.005761505481225553,1,3196,18.408010012515646,0.21309427062356662,False
dn3_thymocyte,1296,9277,0.011055102721769388,1,1296,14.316358024691358,0.20826949262987676,False
erythroid_progenitor,3312,46025,0.008394102807651847,1,3312,27.792874396135264,0.2768155215786994,False
hillock_cell_of_prostate_epithelium,2748,15446,0.00409232991502176,1,2748,11.241630276564774,0.1676489700752075,False
paneth_cell_of_epithelium_of_large_intestine,1965,8291,0.004296678637873582,1,1965,8.438676844783714,0.15711432738342948,False
retinal_bipolar_neuron,2832,17018,0.0042452707813214075,1,2832,12.018361581920903,0.18023079462727312,False
pulmonary_ionocyte,2784,16533,0.0042677524873926675,1,2784,11.877155172413794,0.18373931579859612,False
large_intestine_goblet_cell,1215,3073,0.004166751411854835,1,1215,5.05843621399177,0.10060644880140755,False
alveolar_fibroblast,1201,3218,0.004465723008603941,1,1201,5.3588676103247295,0.09021256648742146,False
epithelial_cell,2818,25293,0.006372392296290922,1,2818,17.951029098651524,0.2308991700024895,False
capillary_endothelial_cell,1394,4791,0.004934490035749562,1,1394,6.873744619799139,0.1082484131175571,False
cd4-positive_helper_t_cell,1272,6893,0.008527183567636041,1,1272,10.83805031446541,0.1745094625297749,False
epithelial_cell_of_lacrimal_sac,1531,4928,0.004207596384950671,1,1531,6.437622468974526,0.12176449597387452,False
"cd8-positive,_alpha-beta_cytokine_secreting_effector_t_cell",1772,8128,0.005180019705488348,1,1772,9.173814898419865,0.162089677989759,False
fast_muscle_cell,1297,6184,0.007357910467650894,1,1297,9.535851966075558,0.21441535122941957,False
pancreatic_delta_cell,2869,21706,0.005275943051121667,1,2869,15.13140467061694,0.20237708386920594,False
type_ii_pneumocyte,3228,36096,0.0069303725651248815,1,3228,22.364312267657994,0.22931327270267102,False
liver_dendritic_cell,2472,15263,0.00499745265140353,1,2472,12.348705501618124,0.18279822712992216,False
basal_cell_of_prostate_epithelium,3036,23354,0.005069099417641785,1,3036,15.38471673254282,0.19044018719797876,False
nampt_neutrophil,1291,4506,0.0054113450903392,1,1291,6.980635166537568,0.13330611394632508,False
memory_b_cell,1920,15774,0.008562402292860864,1,1920,16.43125,0.22263386160531434,False
plasmablast,3041,33719,0.0072948216480035995,1,3041,22.176257809930945,0.25304841501391484,False
naive_regulatory_t_cell,2429,16970,0.005754871632789678,1,2429,13.972828324413339,0.19130376818449313,False
