NormalizedSubject	TaxID	Source
Salmonella enterica AUSMDU00032956	28901	json
Salmonella enterica AUSMDU00032959	28901	json
Salmonella enterica AUSMDU00032972	28901	json
Salmonella enterica AUSMDU00032973	28901	json
Salmonella enterica ERR1010027	28901	json
Salmonella enterica ERR1010032	28901	json
Salmonella enterica ERR1010128	28901	json
Salmonella enterica ERR1010129	28901	json
Salmonella enterica ERR984800	28901	json
Salmonella enterica ERR984822	28901	json
Salmonella enterica ERR984884	28901	json
Salmonella enterica ERR984919	28901	json
Salmonella enterica ERR998502	28901	json
Salmonella enterica HS51537	28901	json
Salmonella enterica HS51616	28901	json
Salmonella enterica HS51628	28901	json
Salmonella enterica HS5826	28901	json
Salmonella enterica HS61616	28901	json
Salmonella enterica HS61622	28901	json
Salmonella enterica HS61639	28901	json
Salmonella enterica HS61648	28901	json
Salmonella enterica HS71549	28901	json
Salmonella enterica HS743	28901	json
