NormalizedSubject	TaxID	Source
Helicobacter pylori KH0042	210.0	ena
Helicobacter pylori KH0045	210.0	ena
Helicobacter pylori KH0054	210.0	ena
Helicobacter pylori KH0065	210.0	ena
Helicobacter pylori KH0066	210.0	ena
Helicobacter pylori KH0070	210.0	ena
Helicobacter pylori KH0071	210.0	ena
Helicobacter pylori KH0072	210.0	ena
Helicobacter pylori KH0075	210.0	ena
Helicobacter pylori KH0086	210.0	ena
Helicobacter pylori KH0092	210.0	ena
Helicobacter pylori KH0095	210.0	ena
Helicobacter pylori KH0097	210.0	ena
Helicobacter pylori KH0106	210.0	ena
Helicobacter pylori KH0110	210.0	ena
Helicobacter pylori KH0113	210.0	ena
Helicobacter pylori KH0119	210.0	ena
Helicobacter pylori KH0120	210.0	ena
Helicobacter pylori KH0122	210.0	ena
Helicobacter pylori KH0125	210.0	ena
Helicobacter pylori KH0126	210.0	ena
Helicobacter pylori KH0127	210.0	ena
Helicobacter pylori KH0129	210.0	ena
Helicobacter pylori KH0141	210.0	ena
Helicobacter pylori KH0143	210.0	ena
Helicobacter pylori KH0148	210.0	ena
Helicobacter pylori KH0149	210.0	ena
Helicobacter pylori KH0153	210.0	ena
Helicobacter pylori KH0156	210.0	ena
Helicobacter pylori KH0158	210.0	ena
Helicobacter pylori KH0159	210.0	ena
Helicobacter pylori KH0161	210.0	ena
Helicobacter pylori KH0165	210.0	ena
Helicobacter pylori KH0167	210.0	ena
Helicobacter pylori KH0172	210.0	ena
Helicobacter pylori KH0173	210.0	ena
Helicobacter pylori KH0175	210.0	ena
Helicobacter pylori KH0176	210.0	ena
Helicobacter pylori KH0178	210.0	ena
Helicobacter pylori KH0182	210.0	ena
Helicobacter pylori KH0191	210.0	ena
Helicobacter pylori KH0198	210.0	ena
Helicobacter pylori KH0207	210.0	ena
Helicobacter pylori KH0210	210.0	ena
Helicobacter pylori MH179988	210.0	ena
Helicobacter pylori NCTC11637	210.0	json
Helicobacter pylori NCTC11638	210.0	json
Klebsiella aerogenes LMG02094	548.0	json
Klebsiella oxytoca ARC5389	571.0	ena
Klebsiella oxytoca KXB10	571.0	ena
Klebsiella oxytoca KXB44	571.0	ena
Klebsiella oxytoca PBIO708	571.0	ena
Klebsiella oxytoca PBIO713	571.0	ena
Klebsiella pneumoniae 878757	573.0	ena
Klebsiella pneumoniae 885662	573.0	ena
Klebsiella pneumoniae 886012	573.0	ena
Klebsiella pneumoniae 887213	573.0	ena
Klebsiella pneumoniae 911056	573.0	ena
Klebsiella pneumoniae 911057	573.0	ena
Klebsiella pneumoniae A-1797	573.0	ena
Klebsiella pneumoniae AKPRH060589	573.0	ena
Klebsiella pneumoniae AKPRH073749	573.0	ena
Klebsiella pneumoniae AKPRH073791	573.0	ena
Klebsiella pneumoniae AKPRH075470	573.0	ena
Klebsiella pneumoniae AKPRH080251	573.0	ena
Klebsiella pneumoniae AKPRH081695	573.0	ena
Klebsiella pneumoniae AKPRH081861	573.0	ena
Klebsiella pneumoniae AKPRH083936	573.0	ena
Klebsiella pneumoniae AKPRH085199	573.0	ena
Klebsiella pneumoniae AKPRH088118	573.0	ena
Klebsiella pneumoniae AKPRH089275	573.0	ena
Klebsiella pneumoniae AKPRH089312	573.0	ena
Klebsiella pneumoniae AKPRH090404	573.0	ena
Klebsiella pneumoniae AKPRH094381	573.0	ena
Klebsiella pneumoniae AKPRH097079	573.0	ena
Klebsiella pneumoniae AKPRH097254	573.0	ena
Klebsiella pneumoniae AKPRH101752	573.0	ena
Klebsiella pneumoniae AKPRH103086	573.0	ena
Klebsiella pneumoniae AKPRH103748	573.0	ena
Klebsiella pneumoniae AKPRH104785	573.0	ena
Klebsiella pneumoniae AKPRH111435	573.0	ena
Klebsiella pneumoniae AKPRH111506	573.0	ena
Klebsiella pneumoniae AKPRH112452	573.0	ena
Klebsiella pneumoniae AKPRH112959	573.0	ena
Klebsiella pneumoniae AKPRH114788	573.0	ena
Klebsiella pneumoniae AKPRH120539	573.0	ena
Klebsiella pneumoniae AKPRH121194	573.0	ena
Klebsiella pneumoniae AKPRH122047	573.0	ena
Klebsiella pneumoniae AKPRH122847	573.0	ena
Klebsiella pneumoniae AKPRH123639	573.0	ena
Klebsiella pneumoniae AKPRH123804	573.0	ena
Klebsiella pneumoniae AKPRH124873	573.0	ena
Klebsiella pneumoniae AKPRH125024	573.0	ena
Klebsiella pneumoniae AKPRH125859	573.0	ena
Klebsiella pneumoniae AKPRH127063	573.0	ena
Klebsiella pneumoniae AKPRH127096	573.0	ena
Klebsiella pneumoniae AKPRH136678	573.0	ena
Klebsiella pneumoniae AMR0155	573.0	ena
Klebsiella pneumoniae AMR0171	573.0	ena
Klebsiella pneumoniae AMR0179	573.0	ena
Klebsiella pneumoniae AMR0201	573.0	ena
Klebsiella pneumoniae AR-0003	573.0	ena
Klebsiella pneumoniae AR-0049	573.0	ena
Klebsiella pneumoniae AR-0139	573.0	ena
Klebsiella pneumoniae AR-0153	573.0	ena
Klebsiella pneumoniae ARC561	573.0	ena
Klebsiella pneumoniae ARC6088	573.0	ena
Klebsiella pneumoniae ATCC 10031	573.0	ena
Klebsiella pneumoniae ATCC 11296	573.0	ena
Klebsiella pneumoniae ATCC 13883	573.0	ena
Klebsiella pneumoniae ATCC 700603	573.0	ena
Klebsiella pneumoniae ATCC BAA 1705	573.0	ena
Klebsiella pneumoniae ATCC BAA-1705	573.0	ena
Klebsiella pneumoniae B64	573.0	ena
Klebsiella pneumoniae BAA-1705	573.0	ena
Klebsiella pneumoniae BAA-2146	573.0	ena
Klebsiella pneumoniae BKQ2KD	573.0	ena
Klebsiella pneumoniae C24b	573.0	ena
Klebsiella pneumoniae CH0138 INF163 	573.0	json
Klebsiella pneumoniae CH0138 INF164 	573.0	json
Klebsiella pneumoniae CH0258 INF322 	573.0	json
Klebsiella pneumoniae CIP53153	573.0	json
Klebsiella pneumoniae D37100	573.0	ena
Klebsiella pneumoniae DA32094	573.0	ena
Klebsiella pneumoniae IR43	573.0	ena
Klebsiella pneumoniae K187	573.0	ena
Klebsiella pneumoniae KP-123	573.0	ena
Klebsiella pneumoniae KP63	573.0	ena
Klebsiella pneumoniae KPC	573.0	json
Klebsiella pneumoniae KPPR-1	573.0	ena
Klebsiella pneumoniae LMG20218	573.0	json
Klebsiella pneumoniae MTCC3384	573.0	ena
Klebsiella pneumoniae MTCC661	573.0	json
Klebsiella pneumoniae PMK1	573.0	ena
Klebsiella pneumoniae ST11	573.0	ena
Klebsiella pneumoniae ST147	573.0	ena
Klebsiella pneumoniae ST15	573.0	ena
Klebsiella pneumoniae ST258	573.0	ena
Klebsiella pneumoniae ST340	573.0	ena
Klebsiella pneumoniae ST395	573.0	ena
Klebsiella pneumoniae UMM	573.0	ena
