pheS rpoC 0.586
pheS tuf 0.681
pheS tuf 0.762
pheS upp 0.425
pheS upp 0.611
pheS upp 0.748
pheS uppS 0.605
pheT ppa 0.498
pheT purF 0.468
pheT purF 0.49
pheT purL 0.709
pheT purL 0.721
pheT purL 0.779
pheT purL 0.817
pheT rpoC 0.706
pheT rpoC 0.751
pheT rpoC 0.816
pheT rpoC 0.824
pheT rpoC 0.842
pheT rpoC 0.843
pheT rpoC 0.844
pheT rpoC 0.898
pheT rpoC 0.907
pheT topB 0.598
pheT ttcA 0.402
pheT ttcA 0.437
pheT ttcA 0.457
pheT upp 0.405
pheT upp 0.435
pheT upp 0.48
pheT upp 0.504
pheT upp 0.973
pheT uppS 0.442
pheT uppS 0.66
pheT xni 0.49
pnp rne 0.921
pnp rne 0.999
pnp rnhA 0.647
pnp rnhC 0.463
pnp rnhC 0.69
pnp rnt 0.91
pnp rpoC 0.681
pnp rpoC 0.716
pnp rpoC 0.759
pnp rpoC 0.761
pnp rpoC 0.789
pnp rpoC 0.836
pnp rpoC 0.875
pnp uppS 0.671
pnp uppS 0.884
poxB ppc 0.75
poxB pykF 0.914
ppa ppc 0.402
ppa ppc 0.439
ppc pyk 0.935
ppc pykF 0.921
prpB rne 0.476
prpB sucC 0.91
prpB sucC 0.919
prpB sucC 0.924
prs purA 0.809
prs purF 0.978
prs purL 0.488
prs pyrE 0.876
prs upp 0.659
purA purF 0.61
purA purF 0.922
purA purF 0.924
purA purL 0.951
purA purT 0.678
purA pyrE 0.69
purA pyrE 0.707
purA upp 0.6
purF purL 0.998
purF purL 0.999
purF purT 0.824
purF purT 0.826
purF purT 0.881
purF purT 0.973
purF pyk 0.51
purF pyk 0.516
purF pyrE 0.495
purF pyrE 0.518
purF pyrE 0.559
purF pyrE 0.589
purF pyrE 0.596
purF pyrE 0.781
purF pyrE 0.891
purF pyrF 0.441
purF queE 0.406
purF queE 0.409
purF queE 0.43
purF ribBA 0.749
purF rpoC 0.47
purF rpoC 0.533
purF rpoC 0.603
purF rpoC 0.632
purF rpoC 0.758
purF thiE 0.475
purF trpD 0.584
purL purT 0.986
purL pyrE 0.521
purL pyrE 0.567
purL pyrE 0.58
purL pyrE 0.736
purL pyrF 0.612
pyk ribBA 0.8
pyk spxB 0.94
pyk sucC 0.659
pyrE pyrF 0.999
pyrE ribBA 0.535
pyrE rpoC 0.54
pyrE selD 0.631
pyrE sucC 0.679
pyrE upp 0.562
pyrE upp 0.626
pyrE upp 0.734
pyrE upp 0.844
pyrE upp 0.935
recB rnhA 0.667
recB ruvC 0.511
recB ruvC 0.561
recB ruvC 0.923
recU rnhC 0.48
recU rnhC 0.522
recU rnhC 0.581
recU rnhC 0.668
recU ygaC 0.473
ribB thiL 0.403
ribB thiL 0.497
ribB thiM 0.554
ribBA thiE 0.443
rne rnhA 0.759
rne rnt 0.906
rne ybjI 0.544
rne ybjI 0.749
rne yigL 0.687
rnhA ruvC 0.446
rnhA ruvC 0.452
rnhA ruvC 0.881
rnhA topB 0.778
rnhA xni 0.53
rpoC topB 0.605
rpoC topB 0.749
rpoC tuf 0.912
rpoC tuf 0.963
rpoC uppS 0.648
selD topB 0.826
serB thrH 0.946
sucC trpD 0.657
sucC ycsA 0.477
thiE thiL 0.804
thiE thiL 0.937
thiE thiL 0.941
thiE thiL 0.991
thiE thiL 0.995
thiE thiM 0.994
thiE thiM 0.999
thiE thiS 0.78
thiE thiS 0.825
thiL thiM 0.666
thiL thiM 0.772
thiM thiS 0.512
thiM thiS 0.591
topB upp 0.436
upp uppS 0.695
ybiV yidA 0.525
ybiV yigL 0.427
ybjI yidA 0.441
ybjI yigL 0.498
ybjI yigL 0.589
yidA yigL 0.444
yitU ywtE 0.951
