rplC rplX 0.999
rplC rpmE 0.94
rplC rpmE 0.974
rplC rpmE 0.976
rplC rpmE 0.982
rplC rpsC 0.996
rplC rpsC 0.998
rplC rpsC 0.999
rplC rpsD 0.993
rplC rpsD 0.994
rplC rpsD 0.996
rplC rpsD 0.997
rplC rpsD 0.998
rplC rpsD 0.999
rplC rpsE 0.995
rplC rpsE 0.996
rplC rpsE 0.997
rplC rpsE 0.998
rplC rpsE 0.999
rplC rpsG 0.99
rplC rpsG 0.995
rplC rpsG 0.996
rplC rpsG 0.997
rplC rpsG 0.998
rplC rpsG 0.999
rplC rpsH 0.997
rplC rpsH 0.998
rplC rpsH 0.999
rplC rpsK 0.992
rplC rpsK 0.996
rplC rpsK 0.997
rplC rpsK 0.998
rplC rpsK 0.999
rplC rpsL 0.994
rplC rpsL 0.996
rplC rpsL 0.998
rplC rpsL 0.999
rplC rpsM 0.995
rplC rpsM 0.996
rplC rpsM 0.998
rplC rpsM 0.999
rplC rpsN 0.965
rplC rpsN 0.993
rplC rpsN 0.995
rplC rpsN 0.999
rplC rpsO 0.991
rplC rpsO 0.992
rplC rpsO 0.993
rplC rpsO 0.994
rplC rpsO 0.996
rplC rpsO 0.997
rplC rpsO 0.998
rplC rpsQ 0.996
rplC rpsQ 0.998
rplC rpsQ 0.999
rplC rpsS 0.997
rplC rpsS 0.998
rplC rpsS 0.999
rplC smrB 0.608
rplC smrB 0.8
rplC typA 0.581
rplC typA 0.616
rplC vmlR 0.943
rplC yjgA 0.614
rplD rplE 0.995
rplD rplE 0.997
rplD rplE 0.998
rplD rplE 0.999
rplD rplF 0.994
rplD rplF 0.995
rplD rplF 0.997
rplD rplF 0.998
rplD rplF 0.999
rplD rplI 0.985
rplD rplI 0.987
rplD rplI 0.99
rplD rplI 0.991
rplD rplI 0.992
rplD rplI 0.993
rplD rplI 0.997
rplD rplI 0.999
rplD rplJ 0.999
rplD rplO 0.995
rplD rplO 0.997
rplD rplO 0.998
rplD rplO 0.999
rplD rplP 0.997
rplD rplP 0.999
rplD rplT 0.981
rplD rplT 0.989
rplD rplT 0.994
rplD rplT 0.995
rplD rplT 0.996
rplD rplT 0.998
rplD rplT 0.999
rplD rplU 0.969
rplD rplU 0.986
rplD rplU 0.99
rplD rplU 0.992
rplD rplU 0.993
rplD rplU 0.995
rplD rplU 0.997
rplD rplU 0.999
rplD rplV 0.998
rplD rplV 0.999
rplD rplW 0.999
rplD rplX 0.995
rplD rplX 0.998
rplD rplX 0.999
rplD rpmE 0.927
rplD rpmE 0.951
rplD rpmE 0.966
rplD rpmE 0.979
rplD rpsC 0.999
rplD rpsD 0.998
rplD rpsD 0.999
rplD rpsE 0.997
rplD rpsE 0.998
rplD rpsE 0.999
rplD rpsG 0.995
rplD rpsG 0.998
rplD rpsG 0.999
rplD rpsH 0.999
rplD rpsK 0.996
rplD rpsK 0.998
rplD rpsK 0.999
rplD rpsL 0.998
rplD rpsL 0.999
rplD rpsM 0.997
rplD rpsM 0.998
rplD rpsM 0.999
rplD rpsN 0.997
rplD rpsN 0.998
rplD rpsN 0.999
rplD rpsO 0.989
rplD rpsO 0.997
rplD rpsO 0.998
rplD rpsO 0.999
rplD rpsQ 0.999
rplD rpsS 0.999
rplD smrB 0.679
rplD smrB 0.841
rplD typA 0.428
rplD typA 0.598
rplD typA 0.634
rplD typA 0.669
rplD typA 0.765
rplD vmlR 0.945
rplD yjgA 0.611
rplE rplF 0.999
rplE rplI 0.986
rplE rplI 0.987
rplE rplI 0.99
rplE rplI 0.991
rplE rplI 0.995
rplE rplI 0.996
rplE rplI 0.998
rplE rplI 0.999
rplE rplJ 0.999
rplE rplO 0.998
rplE rplO 0.999
rplE rplP 0.999
rplE rplT 0.985
rplE rplT 0.99
rplE rplT 0.991
rplE rplT 0.995
rplE rplT 0.996
rplE rplT 0.998
rplE rplT 0.999
rplE rplU 0.986
