fabZ lpxC 0.987
fabZ lpxD 0.952
fabZ lpxD 0.993
fabZ lpxD 0.999
fabZ plsC 0.644
fabZ yqeH 0.455
fdhF hycF 0.999
fdhF hyfH 0.819
fdhF nuoG 0.673
fdhF nuoM 0.734
fliZ rsiW 0.53
fliZ yebA 0.46
fliZ yfmS 0.729
fliZ ylxF 0.99
fliZ yqhR 0.639
fliZ yybS 0.446
gerAB gerAC 0.999
gerAB gerBC 0.978
gerAB gerKB 0.493
gerAB gerKC 0.886
gerAB spoIIIAD 0.552
gerAB spoIIIAE 0.6
gerAB spoVAC 0.535
gerAB yqzK 0.593
gerAB ywcE 0.481
gerAC gerKB 0.945
gerAC gerKC 0.583
gerAC spoIIIAD 0.559
gerAC spoIIIAE 0.628
gerAC spoVAC 0.532
gerAC ykvU 0.445
gerAC ylbC 0.494
gerAC ypeB 0.585
gerAC yqhL 0.483
gerAC ywcE 0.429
gerBC gerKB 0.885
gerBC gerKC 0.567
gerBC spoIIIAD 0.578
gerBC spoIIIAE 0.611
gerBC ypeB 0.566
gerKB gerKC 0.999
gerKB spoIIIAC 0.419
gerKB spoIIIAD 0.473
gerKB spoIIIAE 0.588
gerKB spoVAA 0.499
gerKB spoVAC 0.425
gerKB ypeB 0.537
gerKC spoIIIAC 0.518
gerKC spoIIIAD 0.491
gerKC spoIIIAE 0.569
gerKC spoVAC 0.645
gerKC ypeB 0.734
gerKC yunB 0.433
glcU metQ 0.677
glcU spoVAB 0.502
glcU spoVAC 0.607
glcU yhcJ 0.676
glmU lpxA 0.849
glmU lpxA 0.859
glmU lpxA 0.869
glmU lpxA 0.896
glmU pknB 0.726
glnA glnH 0.813
glnA gltA 0.767
gspA gspB 0.992
hemAT yfmS 0.851
hemAT yhfW 0.514
hemX ybgE 0.501
hemY resB 0.786
hflC hflK 0.999
htrA htrB 0.974
htrA rseP 0.825
htrB rseP 0.824
htrB sppA 0.488
htrC rseP 0.616
htrC walH 0.917
htrC ypeB 0.755
hycF hyfH 0.575
hycF nuoG 0.956
hycF nuoM 0.981
hycF nuoM 0.988
hyfH nuoG 0.958
hyfH nuoM 0.981
ilvL ivbL 0.815
infC ysdA 0.591
isdC srtB 0.985
kdsB lpxA 0.84
kdsB lpxA 0.85
kdsB lpxA 0.926
kdsB lpxB 0.839
kdsB lpxB 0.84
kdsB lpxB 0.955
kdsB lpxC 0.838
kdsB lpxC 0.85
kdsB lpxC 0.938
kdsB lpxD 0.836
kdsB lpxD 0.839
kdsB lpxD 0.917
kinB kinC 0.722
kinB sipW 0.684
kinC sipW 0.846
lepB mepM 0.795
lepB pqiB 0.539
