NormalizedSubject	TaxID	Status
Mycobacterium tuberculosis 2012 500139	1773.0	ok
Mycobacterium tuberculosis ATCC 35801	1773.0	ok
Mycobacterium tuberculosis ATCC 35822	1773.0	ok
Mycobacterium tuberculosis C00014838	1773.0	ok
Mycobacterium tuberculosis EC378	1773.0	ok
Mycobacterium tuberculosis FS304	1773.0	ok
Mycobacterium tuberculosis H37Ra	1773.0	ok
Mycobacterium tuberculosis H37Rv	1773.0	ok
Mycobacterium tuberculosis H37RvMa	1773.0	ok
Mycobacterium tuberculosis H417D mutant	1773.0	ok
Mycobacterium tuberculosis M00001	1773.0	ok
Mycobacterium tuberculosis M00003	1773.0	ok
Mycobacterium tuberculosis M00004	1773.0	ok
Mycobacterium tuberculosis M00005	1773.0	ok
Mycobacterium tuberculosis M00011	1773.0	ok
Mycobacterium tuberculosis M00017	1773.0	ok
Mycobacterium tuberculosis M00019	1773.0	ok
Mycobacterium tuberculosis M00020	1773.0	ok
Mycobacterium tuberculosis MD24	1773.0	ok
Mycobacterium tuberculosis MD54	1773.0	ok
Mycobacterium tuberculosis MD96	1773.0	ok
Mycobacterium tuberculosis MTTR11	1773.0	ok
Mycobacterium tuberculosis MTTR13	1773.0	ok
Mycobacterium tuberculosis MTTR14	1773.0	ok
Mycobacterium tuberculosis MTTR18	1773.0	ok
Mycobacterium tuberculosis MTTR19	1773.0	ok
Mycobacterium tuberculosis MTTR2	1773.0	ok
Mycobacterium tuberculosis MTTR28	1773.0	ok
Mycobacterium tuberculosis MTTR3	1773.0	ok
Mycobacterium tuberculosis MTTR5	1773.0	ok
Mycobacterium tuberculosis MTTR6	1773.0	ok
Mycobacterium tuberculosis MmpL3 F255L	1773.0	ok
Mycobacterium tuberculosis MmpL3 G253E	1773.0	ok
Mycobacterium tuberculosis MmpL3 Y252C	1773.0	ok
Mycobacterium tuberculosis MmpL3 Y252S	1773.0	ok
Mycobacterium tuberculosis N0008	1773.0	ok
Mycobacterium tuberculosis R1093	1773.0	ok
Mycobacterium tuberculosis R3027	1773.0	ok
Mycobacterium tuberculosis R4254	1773.0	ok
Mycobacterium tuberculosis S94A mutant	1773.0	ok
